Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	A1-RLT	04-NOV-14 08:31	User Waypoint	N14.92641 W16.76229	49 m				Symbol & Name	Black	Triangle, Red					11/4/2014 8:31:49 AM 		
Waypoint	A10-DANGER	04-NOV-14 08:51	User Waypoint	N14.91562 W16.75037	49 m				Symbol & Name	Black	Triangle, Red					11/4/2014 8:51:46 AM 		
Waypoint	A100	16-NOV-14 09:50	User Waypoint	N14.73293 W16.47860	30 m				Symbol & Name	Black	Waypoint					11/16/2014 9:50:19 AM 		
Waypoint	A101	16-NOV-14 09:51	User Waypoint	N14.73476 W16.47357	29 m				Symbol & Name	Black	Waypoint					11/16/2014 9:51:58 AM 		
Waypoint	A102-DZR	16-NOV-14 09:52	User Waypoint	N14.73165 W16.47188	28 m				Symbol & Name	Black	Waypoint					11/16/2014 9:52:53 AM 		
Waypoint	A103-VL40	16-NOV-14 09:53	User Waypoint	N14.73123 W16.47140	30 m				Symbol & Name	Black	Flag, Red					11/16/2014 9:53:10 AM 		
Waypoint	A104-FZR	16-NOV-14 09:54	User Waypoint	N14.72964 W16.46962	28 m				Symbol & Name	Black	Flag, Green					11/16/2014 9:54:17 AM 		
Waypoint	A11-VL40	04-NOV-14 08:52	User Waypoint	N14.91445 W16.74981	49 m				Symbol & Name	Black	Flag, Red					11/4/2014 8:52:19 AM 		
Waypoint	A12-FZR	04-NOV-14 08:53	User Waypoint	N14.91426 W16.74621	45 m				Symbol & Name	Black	Flag, Green					11/4/2014 8:53:24 AM 		
Waypoint	A13-DZR	04-NOV-14 08:55	User Waypoint	N14.91352 W16.73727	41 m				Symbol & Name	Black	Waypoint					11/4/2014 8:55:22 AM 		
Waypoint	A14-VL40	04-NOV-14 08:55	User Waypoint	N14.91360 W16.73690	40 m				Symbol & Name	Black	Flag, Red					11/4/2014 8:55:46 AM 		
Waypoint	A15-FZR	04-NOV-14 08:57	User Waypoint	N14.91220 W16.73468	41 m				Symbol & Name	Black	Flag, Green					11/4/2014 8:57:24 AM 		
Waypoint	A16	04-NOV-14 08:58	User Waypoint	N14.91138 W16.73209	40 m				Symbol & Name	Black	Waypoint					11/4/2014 8:58:06 AM 		
Waypoint	A17-DANGER	04-NOV-14 08:59	User Waypoint	N14.90983 W16.72713	45 m				Symbol & Name	Black	Triangle, Red					11/4/2014 8:59:30 AM 		
Waypoint	A18	04-NOV-14 09:03	User Waypoint	N14.90415 W16.70965	36 m				Symbol & Name	Black	Waypoint					11/4/2014 9:03:28 AM 		
Waypoint	A19	04-NOV-14 09:09	User Waypoint	N14.88243 W16.69946	32 m				Symbol & Name	Black	Waypoint					11/4/2014 9:09:30 AM 		
Waypoint	A2	04-NOV-14 08:33	User Waypoint	N14.92904 W16.75510	47 m				Symbol & Name	Black	Waypoint					11/4/2014 8:33:37 AM 		
Waypoint	A20-DZR	04-NOV-14 09:10	User Waypoint	N14.87909 W16.69786	30 m				Symbol & Name	Black	Waypoint					11/4/2014 9:10:31 AM 		
Waypoint	A21-VL40	04-NOV-14 09:11	User Waypoint	N14.87846 W16.69722	34 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:11:33 AM 		
Waypoint	A22-VL40	04-NOV-14 09:13	User Waypoint	N14.87743 W16.69480	34 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:13:22 AM 		
Waypoint	A23-FZR	04-NOV-14 09:13	User Waypoint	N14.87749 W16.69474	34 m				Symbol & Name	Black	Flag, Green					11/4/2014 9:13:30 AM 		
Waypoint	A24	04-NOV-14 09:15	User Waypoint	N14.88003 W16.68911	32 m				Symbol & Name	Black	Waypoint					11/4/2014 9:15:35 AM 		
Waypoint	A25-DANGER	04-NOV-14 09:16	User Waypoint	N14.88064 W16.68791	37 m				Symbol & Name	Black	Triangle, Red					11/4/2014 9:16:11 AM 		
Waypoint	A26	04-NOV-14 09:17	User Waypoint	N14.88200 W16.68476	34 m				Symbol & Name	Black	Waypoint					11/4/2014 9:17:21 AM 		
Waypoint	A27	04-NOV-14 09:18	User Waypoint	N14.88386 W16.68516	37 m				Symbol & Name	Black	Waypoint					11/4/2014 9:18:31 AM 		
Waypoint	A28-DHP	04-NOV-14 09:20	User Waypoint	N14.89100 W16.68565	34 m				Symbol & Name	Black	Waypoint					11/4/2014 9:20:46 AM 		
Waypoint	A29-FHP	04-NOV-14 09:23	User Waypoint	N14.88999 W16.68043	35 m				Symbol & Name	Black	Waypoint					11/4/2014 9:23:45 AM 		
Waypoint	A3-DHP	04-NOV-14 08:34	User Waypoint	N14.92980 W16.75373	43 m				Symbol & Name	Black	Waypoint					11/4/2014 8:34:36 AM 		
Waypoint	A30-RLT	04-NOV-14 09:24	User Waypoint	N14.88986 W16.67944	33 m				Symbol & Name	Black	Triangle, Red					11/4/2014 9:24:34 AM 		
Waypoint	A31-DZR	04-NOV-14 09:25	User Waypoint	N14.88923 W16.67579	40 m				Symbol & Name	Black	Waypoint					11/4/2014 9:25:30 AM 		
Waypoint	A32-VL40	04-NOV-14 09:25	User Waypoint	N14.88894 W16.67515	39 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:25:49 AM 		
Waypoint	A33-FZR	04-NOV-14 09:27	User Waypoint	N14.88617 W16.67110	40 m				Symbol & Name	Black	Flag, Green					11/4/2014 9:27:45 AM 		
Waypoint	A34	04-NOV-14 09:33	User Waypoint	N14.87618 W16.67056	39 m				Symbol & Name	Black	Waypoint					11/4/2014 9:33:44 AM 		
Waypoint	A35-HP	04-NOV-14 09:36	User Waypoint	N14.87817 W16.66561	35 m				Symbol & Name	Black	Waypoint					11/4/2014 9:36:11 AM 		
Waypoint	A36-DZR	04-NOV-14 09:38	User Waypoint	N14.87649 W16.65964	34 m				Symbol & Name	Black	Waypoint					11/4/2014 9:38:40 AM 		
Waypoint	A37-VL40	04-NOV-14 09:39	User Waypoint	N14.87632 W16.65940	33 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:39:03 AM 		
Waypoint	A38-VL40	04-NOV-14 09:39	User Waypoint	N14.87553 W16.65913	99 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:39:35 AM 		
Waypoint	A39-FZR	04-NOV-14 09:40	User Waypoint	N14.87546 W16.65813	49 m				Symbol & Name	Black	Flag, Green					11/4/2014 9:40:02 AM 		
Waypoint	A4-FHP	04-NOV-14 08:35	User Waypoint	N14.92888 W16.75229	42 m				Symbol & Name	Black	Waypoint					11/4/2014 8:35:32 AM 		
Waypoint	A40-DZR	04-NOV-14 09:41	User Waypoint	N14.87295 W16.65036	43 m				Symbol & Name	Black	Waypoint					11/4/2014 9:41:35 AM 		
Waypoint	A41-VL40	04-NOV-14 09:41	User Waypoint	N14.87250 W16.64980	46 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:41:57 AM 		
Waypoint	A42-FZR	04-NOV-14 09:42	User Waypoint	N14.87187 W16.64881	42 m				Symbol & Name	Black	Flag, Green					11/4/2014 9:42:51 AM 		
Waypoint	A43	04-NOV-14 09:46	User Waypoint	N14.85986 W16.63830	38 m				Symbol & Name	Black	Waypoint					11/4/2014 9:46:13 AM 		
Waypoint	A44	04-NOV-14 09:46	User Waypoint	N14.86080 W16.63822	42 m				Symbol & Name	Black	Waypoint					11/4/2014 9:46:41 AM 		
Waypoint	A45	04-NOV-14 09:49	User Waypoint	N14.87361 W16.63480	47 m				Symbol & Name	Black	Waypoint					11/4/2014 9:49:16 AM 		
Waypoint	A46	04-NOV-14 09:49	User Waypoint	N14.87389 W16.63464	47 m				Symbol & Name	Black	Waypoint					11/4/2014 9:49:33 AM 		
Waypoint	A47-RLT	04-NOV-14 09:54	User Waypoint	N14.87738 W16.61914	51 m				Symbol & Name	Black	Triangle, Red					11/4/2014 9:54:15 AM 		
Waypoint	A48	04-NOV-14 09:55	User Waypoint	N14.87735 W16.61779	52 m				Symbol & Name	Black	Waypoint					11/4/2014 9:55:30 AM 		
