Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG 003	06/12/2014 11:52:18 	1:07:06	59.4 km	53 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N14.92580 W16.77751	06/12/2014 11:52:18 	67 m
Trackpoint	N14.92577 W16.77745	06/12/2014 11:56:17 	46 m			8 m	0:03:59	0.1 kph	116° true
Trackpoint	N14.92557 W16.77720	06/12/2014 11:56:24 	46 m			35 m	0:00:07	18 kph	130° true
Trackpoint	N14.92550 W16.77708	06/12/2014 11:56:33 	46 m			15 m	0:00:09	6 kph	121° true
Trackpoint	N14.92548 W16.77704	06/12/2014 11:59:30 	46 m			4 m	0:02:57	0.1 kph	120° true
Trackpoint	N14.92532 W16.77660	06/12/2014 11:59:36 	46 m			51 m	0:00:06	31 kph	110° true
Trackpoint	N14.92521 W16.77626	06/12/2014 11:59:39 	46 m			39 m	0:00:03	46 kph	108° true
Trackpoint	N14.92516 W16.77495	06/12/2014 11:59:46 	47 m			141 m	0:00:07	72 kph	93° true
Trackpoint	N14.92508 W16.77362	06/12/2014 11:59:52 	45 m			143 m	0:00:06	86 kph	93° true
Trackpoint	N14.92507 W16.77318	06/12/2014 11:59:54 	46 m			47 m	0:00:02	85 kph	92° true
Trackpoint	N14.92528 W16.77186	06/12/2014 12:00:00 	45 m			144 m	0:00:06	86 kph	80° true
Trackpoint	N14.92533 W16.77127	06/12/2014 12:00:04 	45 m			64 m	0:00:04	58 kph	86° true
Trackpoint	N14.92550 W16.76967	06/12/2014 12:00:12 	47 m			173 m	0:00:08	78 kph	83° true
Trackpoint	N14.92594 W16.76794	06/12/2014 12:00:19 	46 m			193 m	0:00:07	99 kph	75° true
Trackpoint	N14.92604 W16.76772	06/12/2014 12:00:20 	46 m			26 m	0:00:01	94 kph	64° true
Trackpoint	N14.92622 W16.76652	06/12/2014 12:00:25 	48 m			131 m	0:00:05	94 kph	82° true
Trackpoint	N14.92624 W16.76580	06/12/2014 12:00:28 	48 m			78 m	0:00:03	93 kph	88° true
Trackpoint	N14.92619 W16.76484	06/12/2014 12:00:33 	49 m			103 m	0:00:05	74 kph	93° true
Trackpoint	N14.92625 W16.76378	06/12/2014 12:00:38 	50 m			114 m	0:00:05	82 kph	86° true
Trackpoint	N14.92640 W16.76281	06/12/2014 12:00:43 	50 m			106 m	0:00:05	76 kph	81° true
Trackpoint	N14.92642 W16.76200	06/12/2014 12:00:47 	49 m			87 m	0:00:04	78 kph	89° true
Trackpoint	N14.92681 W16.76002	06/12/2014 12:00:56 	53 m			218 m	0:00:09	87 kph	78° true
Trackpoint	N14.92712 W16.75888	06/12/2014 12:01:01 	52 m			127 m	0:00:05	91 kph	74° true
Trackpoint	N14.92793 W16.75714	06/12/2014 12:01:09 	51 m			208 m	0:00:08	94 kph	64° true
Trackpoint	N14.92812 W16.75684	06/12/2014 12:01:11 	50 m			38 m	0:00:02	69 kph	56° true
Trackpoint	N14.92879 W16.75575	06/12/2014 12:01:18 	48 m			139 m	0:00:07	71 kph	58° true
Trackpoint	N14.92914 W16.75484	06/12/2014 12:01:24 	47 m			105 m	0:00:06	63 kph	68° true
Trackpoint	N14.92919 W16.75473	06/12/2014 12:01:25 	48 m			13 m	0:00:01	48 kph	65° true
Trackpoint	N14.92916 W16.75435	06/12/2014 12:01:29 	48 m			41 m	0:00:04	36 kph	94° true
Trackpoint	N14.92917 W16.75404	06/12/2014 12:01:32 	48 m			34 m	0:00:03	40 kph	90° true
Trackpoint	N14.92909 W16.75372	06/12/2014 12:01:35 	49 m			35 m	0:00:03	42 kph	104° true
Trackpoint	N14.92910 W16.75274	06/12/2014 12:01:42 	48 m			106 m	0:00:07	54 kph	89° true
Trackpoint	N14.92877 W16.75230	06/12/2014 12:01:48 	46 m			60 m	0:00:06	36 kph	128° true
Trackpoint	N14.92837 W16.75247	06/12/2014 12:01:52 	45 m			49 m	0:00:04	44 kph	203° true
Trackpoint	N14.92793 W16.75282	06/12/2014 12:01:56 	44 m			62 m	0:00:04	56 kph	217° true
Trackpoint	N14.92669 W16.75358	06/12/2014 12:02:03 	44 m			160 m	0:00:07	82 kph	211° true
Trackpoint	N14.92651 W16.75368	06/12/2014 12:02:04 	44 m			23 m	0:00:01	83 kph	208° true
Trackpoint	N14.92617 W16.75392	06/12/2014 12:02:06 	42 m			46 m	0:00:02	82 kph	215° true
Trackpoint	N14.92543 W16.75417	06/12/2014 12:02:10 	43 m			87 m	0:00:04	78 kph	198° true
Trackpoint	N14.92444 W16.75446	06/12/2014 12:02:16 	43 m			115 m	0:00:06	69 kph	195° true
Trackpoint	N14.92395 W16.75449	06/12/2014 12:02:19 	43 m			54 m	0:00:03	65 kph	184° true
Trackpoint	N14.92340 W16.75463	06/12/2014 12:02:22 	44 m			63 m	0:00:03	76 kph	193° true
Trackpoint	N14.92272 W16.75472	06/12/2014 12:02:26 	43 m			77 m	0:00:04	69 kph	188° true
Trackpoint	N14.92189 W16.75500	06/12/2014 12:02:31 	43 m			97 m	0:00:05	70 kph	198° true
Trackpoint	N14.92123 W16.75534	06/12/2014 12:02:36 	41 m			82 m	0:00:05	59 kph	207° true
Trackpoint	N14.92077 W16.75578	06/12/2014 12:02:42 	41 m			70 m	0:00:06	42 kph	222° true
Trackpoint	N14.92054 W16.75641	06/12/2014 12:02:47 	41 m			72 m	0:00:05	52 kph	249° true
Trackpoint	N14.92007 W16.75695	06/12/2014 12:02:51 	41 m			78 m	0:00:04	71 kph	229° true
Trackpoint	N14.91883 W16.75802	06/12/2014 12:02:59 	41 m			180 m	0:00:08	81 kph	220° true
Trackpoint	N14.91868 W16.75810	06/12/2014 12:03:00 	41 m			19 m	0:00:01	68 kph	207° true
Trackpoint	N14.91803 W16.75835	06/12/2014 12:03:04 	41 m			77 m	0:00:04	69 kph	200° true
Trackpoint	N14.91765 W16.75860	06/12/2014 12:03:10 	41 m			50 m	0:00:06	30 kph	213° true
Trackpoint	N14.91764 W16.75834	06/12/2014 12:03:14 	41 m			28 m	0:00:04	25 kph	94° true
Trackpoint	N14.91767 W16.75794	06/12/2014 12:03:19 	42 m			43 m	0:00:05	31 kph	85° true
Trackpoint	N14.91768 W16.75739	06/12/2014 12:03:24 	42 m			59 m	0:00:05	43 kph	89° true
Trackpoint	N14.91734 W16.75597	06/12/2014 12:03:32 	42 m			157 m	0:00:08	71 kph	104° true
Trackpoint	N14.91706 W16.75462	06/12/2014 12:03:39 	43 m			148 m	0:00:07	76 kph	102° true
Trackpoint	N14.91691 W16.75381	06/12/2014 12:03:45 	41 m			89 m	0:00:06	54 kph	101° true
Trackpoint	N14.91655 W16.75240	06/12/2014 12:03:52 	42 m			156 m	0:00:07	80 kph	105° true
Trackpoint	N14.91622 W16.75118	06/12/2014 12:03:59 	41 m			137 m	0:00:07	70 kph	105° true
Trackpoint	N14.91612 W16.75079	06/12/2014 12:04:03 	41 m			43 m	0:00:04	39 kph	106° true
Trackpoint	N14.91570 W16.75039	06/12/2014 12:04:10 	41 m			63 m	0:00:07	32 kph	137° true
Trackpoint	N14.91563 W16.75037	06/12/2014 12:04:11 	41 m			9 m	0:00:01	32 kph	161° true
Trackpoint	N14.91522 W16.75023	06/12/2014 12:04:16 	41 m			48 m	0:00:05	35 kph	161° true
Trackpoint	N14.91496 W16.75017	06/12/2014 12:04:19 	40 m			29 m	0:00:03	35 kph	168° true
Trackpoint	N14.91465 W16.74981	06/12/2014 12:04:25 	40 m			52 m	0:00:06	31 kph	132° true
Trackpoint	N14.91466 W16.74972	06/12/2014 12:04:26 	40 m			9 m	0:00:01	34 kph	86° true
Trackpoint	N14.91460 W16.74891	06/12/2014 12:04:36 	41 m			88 m	0:00:10	32 kph	94° true
Trackpoint	N14.91456 W16.74801	06/12/2014 12:04:46 	41 m			97 m	0:00:10	35 kph	92° true
Trackpoint	N14.91461 W16.74761	06/12/2014 12:04:50 	41 m			43 m	0:00:04	38 kph	83° true
Trackpoint	N14.91460 W16.74735	06/12/2014 12:04:53 	41 m			28 m	0:00:03	34 kph	91° true
Trackpoint	N14.91453 W16.74715	06/12/2014 12:04:59 	41 m			23 m	0:00:06	14 kph	110° true
Trackpoint	N14.91413 W16.74696	06/12/2014 12:05:05 	41 m			49 m	0:00:06	29 kph	155° true
Trackpoint	N14.91410 W16.74637	06/12/2014 12:05:12 	42 m			63 m	0:00:07	32 kph	93° true
Trackpoint	N14.91403 W16.74621	06/12/2014 12:05:14 	42 m			19 m	0:00:02	35 kph	114° true
Trackpoint	N14.91391 W16.74595	06/12/2014 12:05:17 	41 m			31 m	0:00:03	37 kph	116° true
Trackpoint	N14.91387 W16.74578	06/12/2014 12:05:19 	41 m			18 m	0:00:02	33 kph	106° true
Trackpoint	N14.91348 W16.74529	06/12/2014 12:05:27 	41 m			68 m	0:00:08	31 kph	130° true
Trackpoint	N14.91343 W16.74497	06/12/2014 12:05:33 	40 m			36 m	0:00:06	21 kph	98° true
Trackpoint	N14.91328 W16.74467	06/12/2014 12:05:38 	40 m			36 m	0:00:05	26 kph	118° true
Trackpoint	N14.91337 W16.74459	06/12/2014 12:05:40 	40 m			14 m	0:00:02	25 kph	40° true
Trackpoint	N14.91350 W16.74451	06/12/2014 12:05:42 	40 m			16 m	0:00:02	29 kph	29° true
Trackpoint	N14.91357 W16.74410	06/12/2014 12:05:48 	39 m			46 m	0:00:06	27 kph	80° true
Trackpoint	N14.91353 W16.74399	06/12/2014 12:05:49 	39 m			12 m	0:00:01	43 kph	111° true
Trackpoint	N14.91378 W16.74339	06/12/2014 12:05:55 	39 m			70 m	0:00:06	42 kph	67° true
Trackpoint	N14.91404 W16.74328	06/12/2014 12:05:57 	39 m			32 m	0:00:02	58 kph	23° true
Trackpoint	N14.91438 W16.74317	06/12/2014 12:06:00 	39 m			39 m	0:00:03	47 kph	17° true
Trackpoint	N14.91447 W16.74269	06/12/2014 12:06:06 	40 m			52 m	0:00:06	31 kph	79° true
Trackpoint	N14.91413 W16.74157	06/12/2014 12:06:13 	39 m			126 m	0:00:07	65 kph	107° true
Trackpoint	N14.91384 W16.74035	06/12/2014 12:06:19 	40 m			136 m	0:00:06	81 kph	104° true
Trackpoint	N14.91387 W16.74008	06/12/2014 12:06:22 	39 m			29 m	0:00:03	35 kph	83° true
Trackpoint	N14.91378 W16.73951	06/12/2014 12:06:28 	39 m			62 m	0:00:06	37 kph	99° true
Trackpoint	N14.91367 W16.73840	06/12/2014 12:06:34 	41 m			120 m	0:00:06	72 kph	96° true
Trackpoint	N14.91368 W16.73757	06/12/2014 12:06:39 	41 m			89 m	0:00:05	64 kph	89° true
Trackpoint	N14.91376 W16.73698	06/12/2014 12:06:46 	40 m			65 m	0:00:07	33 kph	82° true
Trackpoint	N14.91376 W16.73690	06/12/2014 12:06:47 	40 m			8 m	0:00:01	30 kph	92° true
Trackpoint	N14.91366 W16.73664	06/12/2014 12:06:51 	41 m			30 m	0:00:04	27 kph	112° true
Trackpoint	N14.91297 W16.73573	06/12/2014 12:07:04 	39 m			124 m	0:00:13	34 kph	128° true
Trackpoint	N14.91231 W16.73518	06/12/2014 12:07:13 	39 m			95 m	0:00:09	38 kph	141° true
Trackpoint	N14.91228 W16.73497	06/12/2014 12:07:17 	39 m			24 m	0:00:04	21 kph	98° true
Trackpoint	N14.91209 W16.73423	06/12/2014 12:07:25 	39 m			82 m	0:00:08	37 kph	105° true
Trackpoint	N14.91203 W16.73396	06/12/2014 12:07:27 	39 m			30 m	0:00:02	54 kph	103° true
Trackpoint	N14.91186 W16.73352	06/12/2014 12:07:30 	39 m			51 m	0:00:03	62 kph	113° true
Trackpoint	N14.91153 W16.73251	06/12/2014 12:07:36 	41 m			115 m	0:00:06	69 kph	108° true
Trackpoint	N14.91094 W16.73100	06/12/2014 12:07:44 	39 m			175 m	0:00:08	79 kph	112° true
Trackpoint	N14.91088 W16.73081	06/12/2014 12:07:45 	39 m			21 m	0:00:01	77 kph	107° true
Trackpoint	N14.91078 W16.73022	06/12/2014 12:07:48 	39 m			64 m	0:00:03	77 kph	100° true
Trackpoint	N14.91071 W16.72956	06/12/2014 12:07:52 	39 m			72 m	0:00:04	65 kph	96° true
Trackpoint	N14.91021 W16.72805	06/12/2014 12:08:00 	40 m			172 m	0:00:08	77 kph	109° true
Trackpoint	N14.90996 W16.72726	06/12/2014 12:08:04 	39 m			90 m	0:00:04	81 kph	108° true
Trackpoint	N14.90975 W16.72637	06/12/2014 12:08:09 	39 m			98 m	0:00:05	71 kph	103° true
Trackpoint	N14.90960 W16.72599	06/12/2014 12:08:11 	38 m			44 m	0:00:02	80 kph	112° true
Trackpoint	N14.90948 W16.72559	06/12/2014 12:08:13 	37 m			45 m	0:00:02	80 kph	108° true
Trackpoint	N14.90923 W16.72493	06/12/2014 12:08:17 	36 m			76 m	0:00:04	68 kph	111° true
Trackpoint	N14.90911 W16.72467	06/12/2014 12:08:19 	35 m			31 m	0:00:02	56 kph	116° true
Trackpoint	N14.90873 W16.72343	06/12/2014 12:08:26 	35 m			141 m	0:00:07	72 kph	107° true
